Episode 32 done, steps = 19411, actions = [0:2/497 | 1:68/497 | 2:2/497 | 3:220/497 | 4:198/497 | 5:7/497 | ], loss = 12.40802001953125, rewards = 120.0, consume time = 47.76226997375488s
Episode 33 done, steps = 20210, actions = [0:0/799 | 1:91/799 | 2:5/799 | 3:386/799 | 4:312/799 | 5:5/799 | ], loss = 16.80686378479004, rewards = 235.0, consume time = 49.74421191215515s
Episode 34 done, steps = 20702, actions = [0:3/492 | 1:61/492 | 2:6/492 | 3:223/492 | 4:193/492 | 5:6/492 | ], loss = 9.161253929138184, rewards = 95.0, consume time = 50.97488284111023s
Episode 35 done, steps = 21353, actions = [0:1/651 | 1:65/651 | 2:5/651 | 3:365/651 | 4:213/651 | 5:2/651 | ], loss = 16.38168716430664, rewards = 235.0, consume time = 52.58362889289856s
Episode 36 done, steps = 21863, actions = [0:1/510 | 1:78/510 | 2:8/510 | 3:255/510 | 4:161/510 | 5:7/510 | ], loss = 9.290462493896484, rewards = 120.0, consume time = 53.8585638999939s
Episode 37 done, steps = 22236, actions = [0:0/373 | 1:82/373 | 2:1/373 | 3:130/373 | 4:160/373 | 5:0/373 | ], loss = 14.472738265991211, rewards = 95.0, consume time = 54.80177187919617s
Episode 38 done, steps = 22758, actions = [0:2/522 | 1:66/522 | 2:3/522 | 3:299/522 | 4:150/522 | 5:2/522 | ], loss = 5.9671502113342285, rewards = 90.0, consume time = 56.12355589866638s
Episode 39 done, steps = 23544, actions = [0:0/786 | 1:78/786 | 2:4/786 | 3:424/786 | 4:277/786 | 5:3/786 | ], loss = 15.919286727905273, rewards = 240.0, consume time = 58.056832790374756s
Episode 40 done, steps = 23827, actions = [0:0/283 | 1:116/283 | 2:1/283 | 3:79/283 | 4:87/283 | 5:0/283 | ], loss = 10.5070161819458, rewards = 80.0, consume time = 58.861562967300415s
Episode 41 done, steps = 24532, actions = [0:0/705 | 1:86/705 | 2:5/705 | 3:337/705 | 4:277/705 | 5:0/705 | ], loss = 15.18971061706543, rewards = 215.0, consume time = 60.790403842926025s
Episode 42 done, steps = 25304, actions = [0:0/772 | 1:121/772 | 2:7/772 | 3:401/772 | 4:241/772 | 5:2/772 | ], loss = 20.283039093017578, rewards = 370.0, consume time = 62.88946986198425s
Episode 43 done, steps = 26095, actions = [0:1/791 | 1:98/791 | 2:3/791 | 3:449/791 | 4:239/791 | 5:1/791 | ], loss = 15.475313186645508, rewards = 255.0, consume time = 65.0221598148346s
Episode 44 done, steps = 26451, actions = [0:0/356 | 1:72/356 | 2:3/356 | 3:91/356 | 4:190/356 | 5:0/356 | ], loss = 12.12965202331543, rewards = 105.0, consume time = 66.01629686355591s
Episode 45 done, steps = 27092, actions = [0:0/641 | 1:94/641 | 2:5/641 | 3:405/641 | 4:136/641 | 5:1/641 | ], loss = 13.202954292297363, rewards = 200.0, consume time = 67.7657859325409s
Episode 46 done, steps = 27959, actions = [0:0/867 | 1:157/867 | 2:6/867 | 3:492/867 | 4:210/867 | 5:2/867 | ], loss = 17.149322509765625, rewards = 280.0, consume time = 70.10534882545471s
Episode 47 done, steps = 28249, actions = [0:1/290 | 1:165/290 | 2:2/290 | 3:53/290 | 4:69/290 | 5:0/290 | ], loss = 4.876537322998047, rewards = 45.0, consume time = 70.94678688049316s
Episode 48 done, steps = 28866, actions = [0:0/617 | 1:90/617 | 2:1/617 | 3:423/617 | 4:103/617 | 5:0/617 | ], loss = 9.809349060058594, rewards = 140.0, consume time = 72.67024993896484s
Episode 49 done, steps = 29476, actions = [0:1/610 | 1:94/610 | 2:2/610 | 3:395/610 | 4:117/610 | 5:1/610 | ], loss = 12.585623741149902, rewards = 190.0, consume time = 74.37340974807739s
Episode 50 done, steps = 29965, actions = [0:0/489 | 1:141/489 | 2:6/489 | 3:238/489 | 4:104/489 | 5:0/489 | ], loss = 8.968029022216797, rewards = 110.0, consume time = 75.7471387386322s
Episode 51 done, steps = 30255, actions = [0:0/290 | 1:143/290 | 2:2/290 | 3:49/290 | 4:96/290 | 5:0/290 | ], loss = 6.505016326904297, rewards = 55.0, consume time = 76.53411984443665s
Episode 52 done, steps = 30557, actions = [0:0/302 | 1:178/302 | 2:0/302 | 3:67/302 | 4:57/302 | 5:0/302 | ], loss = 4.087647438049316, rewards = 35.0, consume time = 77.38810396194458s
Episode 53 done, steps = 31190, actions = [0:0/633 | 1:121/633 | 2:6/633 | 3:435/633 | 4:69/633 | 5:2/633 | ], loss = 10.07967758178711, rewards = 140.0, consume time = 79.1258749961853s
Episode 54 done, steps = 31685, actions = [0:1/495 | 1:115/495 | 2:7/495 | 3:249/495 | 4:123/495 | 5:0/495 | ], loss = 4.058800220489502, rewards = 55.0, consume time = 80.46958684921265s
Episode 55 done, steps = 32342, actions = [0:0/657 | 1:126/657 | 2:1/657 | 3:466/657 | 4:64/657 | 5:0/657 | ], loss = 10.161046981811523, rewards = 185.0, consume time = 82.28205180168152s
Episode 56 done, steps = 32998, actions = [0:0/656 | 1:130/656 | 2:5/656 | 3:465/656 | 4:52/656 | 5:4/656 | ], loss = 8.630030632019043, rewards = 145.0, consume time = 83.98858785629272s
Episode 57 done, steps = 33615, actions = [0:0/617 | 1:161/617 | 2:5/617 | 3:397/617 | 4:54/617 | 5:0/617 | ], loss = 13.954696655273438, rewards = 210.0, consume time = 85.59812688827515s
Episode 58 done, steps = 34103, actions = [0:0/488 | 1:192/488 | 2:4/488 | 3:245/488 | 4:47/488 | 5:0/488 | ], loss = 8.816400527954102, rewards = 110.0, consume time = 86.87433099746704s
Episode 59 done, steps = 34707, actions = [0:0/604 | 1:207/604 | 2:2/604 | 3:361/604 | 4:33/604 | 5:1/604 | ], loss = 5.833828926086426, rewards = 110.0, consume time = 88.3849229812622s
Episode 60 done, steps = 35332, actions = [0:2/625 | 1:200/625 | 2:5/625 | 3:390/625 | 4:28/625 | 5:0/625 | ], loss = 7.850129127502441, rewards = 135.0, consume time = 89.97556781768799s
Episode 61 done, steps = 35974, actions = [0:0/642 | 1:222/642 | 2:6/642 | 3:368/642 | 4:46/642 | 5:0/642 | ], loss = 10.372101783752441, rewards = 155.0, consume time = 91.59562873840332s
Episode 62 done, steps = 36482, actions = [0:0/508 | 1:237/508 | 2:2/508 | 3:232/508 | 4:35/508 | 5:2/508 | ], loss = 6.965123653411865, rewards = 105.0, consume time = 92.9070680141449s
Episode 63 done, steps = 37210, actions = [0:2/728 | 1:219/728 | 2:11/728 | 3:456/728 | 4:40/728 | 5:0/728 | ], loss = 11.735713958740234, rewards = 215.0, consume time = 94.79327893257141s
Episode 64 done, steps = 37818, actions = [0:0/608 | 1:236/608 | 2:5/608 | 3:324/608 | 4:43/608 | 5:0/608 | ], loss = 10.007840156555176, rewards = 155.0, consume time = 96.38222289085388s
Episode 65 done, steps = 38311, actions = [0:0/493 | 1:210/493 | 2:1/493 | 3:237/493 | 4:45/493 | 5:0/493 | ], loss = 7.7417168617248535, rewards = 110.0, consume time = 97.64722800254822s
Episode 66 done, steps = 38963, actions = [0:0/652 | 1:223/652 | 2:4/652 | 3:379/652 | 4:44/652 | 5:2/652 | ], loss = 7.478628158569336, rewards = 140.0, consume time = 99.31068396568298s
Episode 67 done, steps = 39583, actions = [0:0/620 | 1:236/620 | 2:4/620 | 3:348/620 | 4:32/620 | 5:0/620 | ], loss = 10.11581802368164, rewards = 180.0, consume time = 100.88070487976074s
Episode 68 done, steps = 40182, actions = [0:0/599 | 1:182/599 | 2:6/599 | 3:333/599 | 4:77/599 | 5:1/599 | ], loss = 5.690047264099121, rewards = 105.0, consume time = 102.39631581306458s
Episode 69 done, steps = 40785, actions = [0:0/603 | 1:184/603 | 2:7/603 | 3:338/603 | 4:73/603 | 5:1/603 | ], loss = 6.6939287185668945, rewards = 110.0, consume time = 103.94568681716919s
Episode 70 done, steps = 41644, actions = [0:0/859 | 1:293/859 | 2:6/859 | 3:490/859 | 4:70/859 | 5:0/859 | ], loss = 26.778539657592773, rewards = 460.0, consume time = 106.1039969921112s
Episode 71 done, steps = 42286, actions = [0:0/642 | 1:235/642 | 2:4/642 | 3:367/642 | 4:36/642 | 5:0/642 | ], loss = 9.207149505615234, rewards = 185.0, consume time = 107.73102378845215s
