Episode 64 done, steps = 61295, loss = 1.704513430595398, rewards = -21.0, consume time = 2116.7048649787903s
Episode 65 done, steps = 62413, loss = 2.066223382949829, rewards = -20.0, consume time = 2152.924066066742s
Episode 66 done, steps = 63256, loss = 1.5602450370788574, rewards = -20.0, consume time = 2183.4939770698547s
Episode 67 done, steps = 64294, loss = 2.614126443862915, rewards = -20.0, consume time = 2217.2028341293335s
Episode 68 done, steps = 65295, loss = 3.222628593444824, rewards = -20.0, consume time = 2249.761312007904s
Episode 69 done, steps = 66407, loss = 3.5855116844177246, rewards = -21.0, consume time = 2285.7439279556274s
Episode 70 done, steps = 67417, loss = 2.16937518119812, rewards = -20.0, consume time = 2318.56431889534s
Episode 71 done, steps = 68340, loss = 2.7695162296295166, rewards = -21.0, consume time = 2348.5369210243225s
Episode 72 done, steps = 69349, loss = 1.9762117862701416, rewards = -20.0, consume time = 2381.298418045044s
Episode 73 done, steps = 70512, loss = 2.313811779022217, rewards = -20.0, consume time = 2419.1133391857147s
Episode 74 done, steps = 71477, loss = 1.7123761177062988, rewards = -19.0, consume time = 2450.4858360290527s
Episode 75 done, steps = 72445, loss = 1.910818099975586, rewards = -21.0, consume time = 2481.877408027649s
Episode 76 done, steps = 73372, loss = 1.8933056592941284, rewards = -21.0, consume time = 2511.9401478767395s
Episode 77 done, steps = 74259, loss = 2.5166561603546143, rewards = -21.0, consume time = 2543.834583044052s
Episode 78 done, steps = 75296, loss = 1.9432646036148071, rewards = -19.0, consume time = 2577.3919479846954s
Episode 79 done, steps = 76176, loss = 1.5970486402511597, rewards = -21.0, consume time = 2605.910898923874s
Episode 80 done, steps = 77055, loss = 1.4854170083999634, rewards = -20.0, consume time = 2634.315160036087s
Episode 81 done, steps = 78091, loss = 1.7901854515075684, rewards = -21.0, consume time = 2667.8441140651703s
Episode 82 done, steps = 79014, loss = 1.3537355661392212, rewards = -20.0, consume time = 2697.783350944519s
Episode 83 done, steps = 80107, loss = 1.7269147634506226, rewards = -20.0, consume time = 2733.2900059223175s
Episode 84 done, steps = 81066, loss = 1.4160151481628418, rewards = -21.0, consume time = 2764.4412240982056s
Episode 85 done, steps = 82116, loss = 1.7828952074050903, rewards = -20.0, consume time = 2798.577623128891s
Episode 86 done, steps = 83092, loss = 1.7036744356155396, rewards = -20.0, consume time = 2830.2989480495453s
Episode 87 done, steps = 84147, loss = 1.6813390254974365, rewards = -20.0, consume time = 2864.486974000931s
Episode 88 done, steps = 85292, loss = 1.7255834341049194, rewards = -20.0, consume time = 2904.751848936081s
Episode 89 done, steps = 86362, loss = 1.467917799949646, rewards = -20.0, consume time = 2939.515119075775s
Episode 90 done, steps = 87775, loss = 2.777219533920288, rewards = -20.0, consume time = 2985.1668100357056s
Episode 91 done, steps = 88768, loss = 2.212355136871338, rewards = -20.0, consume time = 3017.4727549552917s
Episode 92 done, steps = 89664, loss = 1.6899243593215942, rewards = -21.0, consume time = 3046.9390840530396s
Episode 93 done, steps = 90559, loss = 4.206049919128418, rewards = -21.0, consume time = 3077.2341029644012s
Episode 94 done, steps = 91577, loss = 2.1648294925689697, rewards = -21.0, consume time = 3110.806429862976s
Episode 95 done, steps = 92657, loss = 2.0911548137664795, rewards = -20.0, consume time = 3146.309382200241s
