Episode 85 done: steps = 43622, rewards = 65.0, consume time = 1122.9487719535828s
Episode 86 done: steps = 44322, rewards = 305.0, consume time = 1141.3078649044037s
Episode 87 done: steps = 44614, rewards = 60.0, consume time = 1148.161679983139s
Episode 88 done: steps = 44882, rewards = 10.0, consume time = 1154.5077710151672s
Episode 89 done: steps = 45650, rewards = 410.0, consume time = 1172.597316980362s
Episode 90 done: steps = 46342, rewards = 385.0, consume time = 1188.8744180202484s
Episode 91 done: steps = 46739, rewards = 20.0, consume time = 1198.1971249580383s
Episode 92 done: steps = 47101, rewards = 75.0, consume time = 1206.8641278743744s
Episode 93 done: steps = 47688, rewards = 155.0, consume time = 1220.991786956787s
Episode 94 done: steps = 48358, rewards = 185.0, consume time = 1236.867141008377s
Episode 95 done: steps = 48917, rewards = 210.0, consume time = 1250.1628069877625s
Episode 96 done: steps = 49308, rewards = 80.0, consume time = 1259.5430371761322s
Episode 97 done: steps = 49632, rewards = 50.0, consume time = 1267.210606098175s
Episode 98 done: steps = 50224, rewards = 210.0, consume time = 1281.2202520370483s
Episode 99 done: steps = 50751, rewards = 155.0, consume time = 1293.7511820793152s
Episode 100 done: steps = 51088, rewards = 70.0, consume time = 1301.7412431240082s
Episode 101 done: steps = 51626, rewards = 100.0, consume time = 1314.6399810314178s
Episode 102 done: steps = 52008, rewards = 55.0, consume time = 1323.9555909633636s
Episode 103 done: steps = 52450, rewards = 55.0, consume time = 1334.7168910503387s
Episode 104 done: steps = 53171, rewards = 410.0, consume time = 1352.1629538536072s
Episode 105 done: steps = 53651, rewards = 135.0, consume time = 1363.497092962265s
Episode 106 done: steps = 54503, rewards = 110.0, consume time = 1383.5186729431152s
Episode 107 done: steps = 54850, rewards = 80.0, consume time = 1391.644714832306s
Episode 108 done: steps = 55335, rewards = 95.0, consume time = 1403.0693159103394s
Episode 109 done: steps = 55834, rewards = 155.0, consume time = 1414.9171960353851s
Episode 110 done: steps = 57097, rewards = 435.0, consume time = 1445.235109090805s
Episode 111 done: steps = 57878, rewards = 215.0, consume time = 1464.0842859745026s
Episode 112 done: steps = 58299, rewards = 45.0, consume time = 1474.182827949524s
Episode 113 done: steps = 58682, rewards = 85.0, consume time = 1485.608314037323s
Episode 114 done: steps = 59038, rewards = 80.0, consume time = 1496.378527879715s
Episode 115 done: steps = 59774, rewards = 525.0, consume time = 1517.8174760341644s
Episode 116 done: steps = 60328, rewards = 180.0, consume time = 1531.1682999134064s
Episode 117 done: steps = 60601, rewards = 65.0, consume time = 1537.77210688591s
Episode 118 done: steps = 61045, rewards = 20.0, consume time = 1548.5602378845215s
Episode 119 done: steps = 61591, rewards = 135.0, consume time = 1561.9813759326935s
Episode 120 done: steps = 62177, rewards = 155.0, consume time = 1576.2237758636475s
Episode 121 done: steps = 62480, rewards = 80.0, consume time = 1583.5372099876404s
Episode 122 done: steps = 62948, rewards = 135.0, consume time = 1594.9392170906067s
Episode 123 done: steps = 63232, rewards = 50.0, consume time = 1601.7911870479584s
Episode 124 done: steps = 63620, rewards = 60.0, consume time = 1611.1674818992615s
Episode 125 done: steps = 64493, rewards = 500.0, consume time = 1632.4029469490051s
Episode 126 done: steps = 64915, rewards = 120.0, consume time = 1642.7383289337158s
Episode 127 done: steps = 65421, rewards = 150.0, consume time = 1655.1642138957977s
Episode 128 done: steps = 65675, rewards = 20.0, consume time = 1661.4241321086884s
Episode 129 done: steps = 66742, rewards = 410.0, consume time = 1687.6689751148224s
Episode 130 done: steps = 67410, rewards = 215.0, consume time = 1704.080873966217s
Episode 131 done: steps = 68009, rewards = 210.0, consume time = 1718.8615078926086s
Episode 132 done: steps = 68552, rewards = 155.0, consume time = 1732.3569219112396s
Episode 133 done: steps = 68940, rewards = 80.0, consume time = 1742.0457119941711s
Episode 134 done: steps = 69399, rewards = 110.0, consume time = 1753.547366142273s
Episode 135 done: steps = 69894, rewards = 180.0, consume time = 1766.0429809093475s
Episode 136 done: steps = 70479, rewards = 135.0, consume time = 1780.8286881446838s
Episode 137 done: steps = 71010, rewards = 135.0, consume time = 1794.6764969825745s
Episode 138 done: steps = 71301, rewards = 65.0, consume time = 1802.3577818870544s
Episode 139 done: steps = 71715, rewards = 75.0, consume time = 1813.0398480892181s
Episode 140 done: steps = 72757, rewards = 745.0, consume time = 1839.5014350414276s
Episode 141 done: steps = 73359, rewards = 155.0, consume time = 1854.9857749938965s
Episode 142 done: steps = 73881, rewards = 110.0, consume time = 1870.6239800453186s
Episode 143 done: steps = 74573, rewards = 335.0, consume time = 1893.2821888923645s
Episode 144 done: steps = 74961, rewards = 125.0, consume time = 1904.5380249023438s
Episode 145 done: steps = 75813, rewards = 195.0, consume time = 1926.9071769714355s
Episode 146 done: steps = 76220, rewards = 50.0, consume time = 1937.4649310112s
Episode 147 done: steps = 76508, rewards = 20.0, consume time = 1944.7889268398285s
Episode 148 done: steps = 76981, rewards = 75.0, consume time = 1956.82665681839s
Episode 149 done: steps = 77678, rewards = 240.0, consume time = 1974.1438779830933s
Episode 150 done: steps = 78196, rewards = 120.0, consume time = 1986.926754951477s
Episode 151 done: steps = 78673, rewards = 150.0, consume time = 1998.6644101142883s
Episode 152 done: steps = 78962, rewards = 80.0, consume time = 2005.8032360076904s
Episode 153 done: steps = 79429, rewards = 30.0, consume time = 2017.388892173767s
Episode 154 done: steps = 80032, rewards = 100.0, consume time = 2032.4798848628998s
Episode 155 done: steps = 80485, rewards = 135.0, consume time = 2044.0979177951813s
Episode 156 done: steps = 81001, rewards = 110.0, consume time = 2057.2475669384003s
Episode 157 done: steps = 81383, rewards = 155.0, consume time = 2067.0851600170135s
Episode 158 done: steps = 81677, rewards = 30.0, consume time = 2074.668431997299s
Episode 159 done: steps = 82206, rewards = 180.0, consume time = 2088.161665916443s
Episode 160 done: steps = 82755, rewards = 215.0, consume time = 2102.3100011348724s
Episode 161 done: steps = 83280, rewards = 155.0, consume time = 2115.905736207962s
Episode 162 done: steps = 83866, rewards = 85.0, consume time = 2130.697502851486s
Episode 163 done: steps = 84143, rewards = 75.0, consume time = 2137.588928937912s
Episode 164 done: steps = 84569, rewards = 105.0, consume time = 2148.2490680217743s
Episode 165 done: steps = 84987, rewards = 35.0, consume time = 2158.7236409187317s
Episode 166 done: steps = 85677, rewards = 135.0, consume time = 2176.442481994629s
Episode 167 done: steps = 86052, rewards = 50.0, consume time = 2185.6942830085754s
Episode 168 done: steps = 86488, rewards = 30.0, consume time = 2196.505299806595s
Episode 169 done: steps = 86925, rewards = 105.0, consume time = 2207.329936027527s
Episode 170 done: steps = 87335, rewards = 60.0, consume time = 2217.565941810608s
Episode 171 done: steps = 87837, rewards = 90.0, consume time = 2230.2443289756775s
Episode 172 done: steps = 88607, rewards = 400.0, consume time = 2250.729732990265s
Episode 173 done: steps = 88978, rewards = 135.0, consume time = 2262.4380168914795s
Episode 174 done: steps = 89488, rewards = 125.0, consume time = 2278.5989520549774s
Episode 175 done: steps = 89792, rewards = 65.0, consume time = 2287.4071600437164s
Episode 176 done: steps = 90095, rewards = 80.0, consume time = 2294.8871037960052s
Episode 177 done: steps = 90377, rewards = 80.0, consume time = 2301.817104101181s
Episode 178 done: steps = 90844, rewards = 120.0, consume time = 2313.3785560131073s
Episode 179 done: steps = 91147, rewards = 90.0, consume time = 2320.942957878113s
Episode 180 done: steps = 91629, rewards = 180.0, consume time = 2333.34219789505s
Episode 181 done: steps = 92676, rewards = 285.0, consume time = 2360.0256469249725s
Episode 182 done: steps = 93053, rewards = 90.0, consume time = 2369.5568549633026s
Episode 183 done: steps = 93531, rewards = 185.0, consume time = 2381.828426837921s
Episode 184 done: steps = 94052, rewards = 85.0, consume time = 2395.4135978221893s
Episode 185 done: steps = 94418, rewards = 135.0, consume time = 2404.8370180130005s
Episode 186 done: steps = 94760, rewards = 60.0, consume time = 2414.239310026169s
Episode 187 done: steps = 95176, rewards = 90.0, consume time = 2425.367218732834s
Episode 188 done: steps = 95919, rewards = 170.0, consume time = 2444.1545510292053s
Episode 189 done: steps = 96495, rewards = 185.0, consume time = 2458.6380400657654s
Episode 190 done: steps = 96899, rewards = 155.0, consume time = 2468.6568109989166s
Episode 191 done: steps = 97366, rewards = 160.0, consume time = 2480.2737288475037s
Episode 192 done: steps = 97987, rewards = 130.0, consume time = 2495.738184928894s
Episode 193 done: steps = 98745, rewards = 265.0, consume time = 2514.773572921753s
Episode 194 done: steps = 99353, rewards = 105.0, consume time = 2529.8896491527557s
Episode 195 done: steps = 100427, rewards = 380.0, consume time = 2556.8616161346436s
Episode 196 done: steps = 100969, rewards = 105.0, consume time = 2570.54789018631s
Episode 197 done: steps = 101554, rewards = 380.0, consume time = 2585.720953941345s
Episode 198 done: steps = 102251, rewards = 255.0, consume time = 2603.8895971775055s
Episode 199 done: steps = 102517, rewards = 35.0, consume time = 2610.7675330638885s
Episode 200 done: steps = 103080, rewards = 120.0, consume time = 2625.106561899185s
Episode 201 done: steps = 103596, rewards = 180.0, consume time = 2640.2349689006805s
Episode 202 done: steps = 104154, rewards = 210.0, consume time = 2657.9970400333405s
Episode 203 done: steps = 104731, rewards = 160.0, consume time = 2674.8847358226776s
Episode 204 done: steps = 105071, rewards = 35.0, consume time = 2683.623482942581s
Episode 205 done: steps = 105831, rewards = 355.0, consume time = 2703.1073229312897s
Episode 206 done: steps = 106380, rewards = 155.0, consume time = 2717.1709339618683s
Episode 207 done: steps = 106847, rewards = 90.0, consume time = 2728.99161195755s
Episode 208 done: steps = 107386, rewards = 195.0, consume time = 2742.341141939163s
Episode 209 done: steps = 107798, rewards = 60.0, consume time = 2752.6458778381348s
Episode 210 done: steps = 108291, rewards = 105.0, consume time = 2764.926826953888s
Episode 211 done: steps = 108920, rewards = 415.0, consume time = 2780.3420779705048s
Episode 212 done: steps = 109343, rewards = 135.0, consume time = 2790.7048580646515s
Episode 213 done: steps = 109822, rewards = 210.0, consume time = 2802.5315108299255s
Episode 214 done: steps = 110348, rewards = 135.0, consume time = 2815.6513710021973s
Episode 215 done: steps = 110688, rewards = 65.0, consume time = 2824.140923976898s
Episode 216 done: steps = 111580, rewards = 315.0, consume time = 2846.3158400058746s
Episode 217 done: steps = 112153, rewards = 125.0, consume time = 2860.3975830078125s
Episode 218 done: steps = 112439, rewards = 15.0, consume time = 2867.4646339416504s
Episode 219 done: steps = 112911, rewards = 65.0, consume time = 2879.358733892441s
Episode 220 done: steps = 113157, rewards = 40.0, consume time = 2885.584981918335s
Episode 221 done: steps = 113736, rewards = 180.0, consume time = 2899.8062698841095s
Episode 222 done: steps = 114265, rewards = 80.0, consume time = 2913.2454838752747s
Episode 223 done: steps = 114638, rewards = 135.0, consume time = 2922.6913471221924s
Episode 224 done: steps = 115142, rewards = 120.0, consume time = 2935.3461849689484s
Episode 225 done: steps = 115661, rewards = 120.0, consume time = 2948.4330430030823s
Episode 226 done: steps = 116285, rewards = 180.0, consume time = 2963.971987962723s
Episode 227 done: steps = 116686, rewards = 55.0, consume time = 2973.8896191120148s
Episode 228 done: steps = 116987, rewards = 95.0, consume time = 2981.287353038788s
Episode 229 done: steps = 117279, rewards = 105.0, consume time = 2988.614462852478s
Episode 230 done: steps = 117667, rewards = 75.0, consume time = 2998.190584897995s
Episode 231 done: steps = 118149, rewards = 185.0, consume time = 3010.081486940384s
Episode 232 done: steps = 118912, rewards = 300.0, consume time = 3032.560818195343s
Episode 233 done: steps = 119218, rewards = 80.0, consume time = 3042.020914077759s
Episode 234 done: steps = 119538, rewards = 55.0, consume time = 3052.0583069324493s
Episode 235 done: steps = 119898, rewards = 60.0, consume time = 3061.814234018326s
Episode 236 done: steps = 120396, rewards = 160.0, consume time = 3074.5403559207916s
Episode 237 done: steps = 120695, rewards = 80.0, consume time = 3082.2211198806763s
Episode 238 done: steps = 120981, rewards = 30.0, consume time = 3089.6032490730286s
Episode 239 done: steps = 121597, rewards = 210.0, consume time = 3105.5428898334503s
Episode 240 done: steps = 122499, rewards = 765.0, consume time = 3128.632045984268s
Episode 241 done: steps = 123034, rewards = 125.0, consume time = 3142.353219985962s
Episode 242 done: steps = 123519, rewards = 120.0, consume time = 3154.4531919956207s
Episode 243 done: steps = 124124, rewards = 105.0, consume time = 3169.434193134308s
Episode 244 done: steps = 124601, rewards = 145.0, consume time = 3181.3859140872955s
Episode 245 done: steps = 125327, rewards = 210.0, consume time = 3199.1769268512726s
Episode 246 done: steps = 126040, rewards = 340.0, consume time = 3216.719337940216s
Episode 247 done: steps = 127144, rewards = 485.0, consume time = 3243.842221021652s
Episode 248 done: steps = 127774, rewards = 185.0, consume time = 3259.393017053604s
Episode 249 done: steps = 128221, rewards = 210.0, consume time = 3270.2092940807343s
Episode 250 done: steps = 128620, rewards = 125.0, consume time = 3279.911045074463s
Episode 251 done: steps = 129108, rewards = 130.0, consume time = 3291.9968659877777s
Episode 252 done: steps = 129885, rewards = 125.0, consume time = 3311.036792039871s
Episode 253 done: steps = 130276, rewards = 80.0, consume time = 3320.7232868671417s
Episode 254 done: steps = 130783, rewards = 90.0, consume time = 3333.5950260162354s
Episode 255 done: steps = 131203, rewards = 50.0, consume time = 3344.11647605896s
Episode 256 done: steps = 131608, rewards = 155.0, consume time = 3354.298180103302s
Episode 257 done: steps = 132111, rewards = 155.0, consume time = 3367.127914905548s
Episode 258 done: steps = 132619, rewards = 110.0, consume time = 3379.8661839962006s
Episode 259 done: steps = 132908, rewards = 135.0, consume time = 3387.086869955063s
Episode 260 done: steps = 133197, rewards = 60.0, consume time = 3394.262494802475s
Episode 261 done: steps = 133768, rewards = 355.0, consume time = 3410.6210668087006s
Episode 262 done: steps = 134247, rewards = 140.0, consume time = 3425.9367508888245s
Episode 263 done: steps = 134632, rewards = 120.0, consume time = 3438.086802005768s
Episode 264 done: steps = 135101, rewards = 215.0, consume time = 3449.957009077072s
Episode 265 done: steps = 135530, rewards = 65.0, consume time = 3460.5635509490967s
Episode 266 done: steps = 135897, rewards = 110.0, consume time = 3469.759001016617s
Episode 267 done: steps = 136378, rewards = 125.0, consume time = 3481.994943857193s
Episode 268 done: steps = 136880, rewards = 180.0, consume time = 3494.7803349494934s
Episode 269 done: steps = 137177, rewards = 30.0, consume time = 3502.337466955185s
Episode 270 done: steps = 137676, rewards = 105.0, consume time = 3514.944637775421s
Episode 271 done: steps = 138095, rewards = 105.0, consume time = 3525.812828063965s
Episode 272 done: steps = 138510, rewards = 125.0, consume time = 3536.4957830905914s
Episode 273 done: steps = 139062, rewards = 210.0, consume time = 3550.466406106949s
Episode 274 done: steps = 139472, rewards = 95.0, consume time = 3560.7816700935364s
Episode 275 done: steps = 139865, rewards = 85.0, consume time = 3570.525437116623s
Episode 276 done: steps = 140516, rewards = 150.0, consume time = 3586.7738609313965s
Episode 277 done: steps = 141064, rewards = 180.0, consume time = 3600.4335889816284s
Episode 278 done: steps = 141577, rewards = 185.0, consume time = 3613.2205109596252s
Episode 279 done: steps = 142063, rewards = 90.0, consume time = 3625.461422920227s
Episode 280 done: steps = 142435, rewards = 105.0, consume time = 3634.964345932007s
Episode 281 done: steps = 142924, rewards = 105.0, consume time = 3647.591133117676s
Episode 282 done: steps = 143628, rewards = 425.0, consume time = 3666.0579471588135s
Episode 283 done: steps = 144258, rewards = 160.0, consume time = 3682.5612230300903s
Episode 284 done: steps = 144672, rewards = 100.0, consume time = 3693.179383993149s
Episode 285 done: steps = 145550, rewards = 260.0, consume time = 3715.9379670619965s
Episode 286 done: steps = 146326, rewards = 520.0, consume time = 3736.134120941162s
Episode 287 done: steps = 146799, rewards = 30.0, consume time = 3748.473384141922s
Episode 288 done: steps = 147376, rewards = 155.0, consume time = 3763.388508081436s
Episode 289 done: steps = 147889, rewards = 180.0, consume time = 3776.5748789310455s
Episode 290 done: steps = 148531, rewards = 225.0, consume time = 3795.235251903534s
Episode 291 done: steps = 149095, rewards = 135.0, consume time = 3813.580708026886s
Episode 292 done: steps = 149540, rewards = 105.0, consume time = 3827.2217168807983s
Episode 293 done: steps = 150275, rewards = 275.0, consume time = 3845.9768590927124s
Episode 294 done: steps = 150811, rewards = 110.0, consume time = 3859.461821079254s
Episode 295 done: steps = 151383, rewards = 155.0, consume time = 3873.8894460201263s
Episode 296 done: steps = 152155, rewards = 195.0, consume time = 3893.3808629512787s
Episode 297 done: steps = 152547, rewards = 75.0, consume time = 3903.223911046982s
Episode 298 done: steps = 153027, rewards = 105.0, consume time = 3915.29367685318s
Episode 299 done: steps = 153332, rewards = 90.0, consume time = 3922.909240961075s
Episode 300 done: steps = 153940, rewards = 195.0, consume time = 3938.085366010666s
Episode 301 done: steps = 154379, rewards = 120.0, consume time = 3948.900490999222s
Episode 302 done: steps = 154912, rewards = 110.0, consume time = 3962.093237876892s
Episode 303 done: steps = 155301, rewards = 90.0, consume time = 3971.7515349388123s
Episode 304 done: steps = 155597, rewards = 80.0, consume time = 3979.048252105713s
Episode 305 done: steps = 156207, rewards = 125.0, consume time = 3994.281638145447s
Episode 306 done: steps = 156497, rewards = 95.0, consume time = 4001.5629229545593s
Episode 307 done: steps = 156914, rewards = 55.0, consume time = 4011.8979408740997s
Episode 308 done: steps = 157410, rewards = 110.0, consume time = 4024.3099019527435s
Episode 309 done: steps = 158053, rewards = 210.0, consume time = 4040.1140789985657s
Episode 310 done: steps = 158339, rewards = 60.0, consume time = 4047.050961971283s
Episode 311 done: steps = 158968, rewards = 255.0, consume time = 4062.3570239543915s
Episode 312 done: steps = 159678, rewards = 210.0, consume time = 4079.668237924576s
Episode 313 done: steps = 160175, rewards = 110.0, consume time = 4091.84299993515s
Episode 314 done: steps = 160759, rewards = 160.0, consume time = 4106.260509967804s
Episode 315 done: steps = 161168, rewards = 60.0, consume time = 4116.544929027557s
Episode 316 done: steps = 161792, rewards = 180.0, consume time = 4132.388383865356s
Episode 317 done: steps = 162197, rewards = 55.0, consume time = 4142.608648777008s
Episode 318 done: steps = 162701, rewards = 210.0, consume time = 4155.357089996338s
Episode 319 done: steps = 163218, rewards = 210.0, consume time = 4168.600571155548s
Episode 320 done: steps = 164197, rewards = 365.0, consume time = 4199.933263063431s
Episode 321 done: steps = 164794, rewards = 165.0, consume time = 4217.529515028s
Episode 322 done: steps = 165247, rewards = 110.0, consume time = 4229.226944923401s
Episode 323 done: steps = 165769, rewards = 190.0, consume time = 4242.8064250946045s
Episode 324 done: steps = 166065, rewards = 60.0, consume time = 4250.3785791397095s
Episode 325 done: steps = 166639, rewards = 155.0, consume time = 4265.051283836365s
Episode 326 done: steps = 167034, rewards = 85.0, consume time = 4275.119027853012s
Episode 327 done: steps = 167538, rewards = 110.0, consume time = 4287.933021068573s
Episode 328 done: steps = 167919, rewards = 20.0, consume time = 4297.503660917282s
Episode 329 done: steps = 168376, rewards = 120.0, consume time = 4308.878857851028s
Episode 330 done: steps = 168960, rewards = 135.0, consume time = 4323.466548919678s
Episode 331 done: steps = 169794, rewards = 465.0, consume time = 4344.869987010956s
Episode 332 done: steps = 170286, rewards = 120.0, consume time = 4357.655869960785s
Episode 333 done: steps = 170802, rewards = 45.0, consume time = 4371.139877080917s
Episode 334 done: steps = 171317, rewards = 110.0, consume time = 4384.002382993698s
Episode 335 done: steps = 171807, rewards = 110.0, consume time = 4396.473175048828s
Episode 336 done: steps = 172114, rewards = 75.0, consume time = 4404.243330001831s
Episode 337 done: steps = 172393, rewards = 55.0, consume time = 4411.256488084793s
Episode 338 done: steps = 173003, rewards = 195.0, consume time = 4426.264425992966s
Episode 339 done: steps = 173712, rewards = 265.0, consume time = 4443.65158700943s
Episode 340 done: steps = 174219, rewards = 110.0, consume time = 4456.137555837631s
Episode 341 done: steps = 174812, rewards = 155.0, consume time = 4470.930839061737s
Episode 342 done: steps = 175261, rewards = 105.0, consume time = 4482.222244977951s
Episode 343 done: steps = 176026, rewards = 305.0, consume time = 4502.020117998123s
Episode 344 done: steps = 176309, rewards = 65.0, consume time = 4509.329206943512s
Episode 345 done: steps = 176797, rewards = 35.0, consume time = 4521.782813072205s
Episode 346 done: steps = 177295, rewards = 90.0, consume time = 4534.495284795761s
Episode 347 done: steps = 177738, rewards = 55.0, consume time = 4545.699075937271s
Episode 348 done: steps = 178125, rewards = 100.0, consume time = 4555.730781078339s
Episode 349 done: steps = 178618, rewards = 180.0, consume time = 4571.647557973862s
Episode 350 done: steps = 179015, rewards = 60.0, consume time = 4584.648477077484s
Episode 351 done: steps = 179586, rewards = 170.0, consume time = 4601.490417003632s
Episode 352 done: steps = 180191, rewards = 160.0, consume time = 4616.827506780624s
Episode 353 done: steps = 180651, rewards = 75.0, consume time = 4628.469130992889s
Episode 354 done: steps = 181305, rewards = 225.0, consume time = 4645.058705091476s
Episode 355 done: steps = 182113, rewards = 285.0, consume time = 4665.484544992447s
Episode 356 done: steps = 182545, rewards = 75.0, consume time = 4676.684602975845s
Episode 357 done: steps = 183057, rewards = 125.0, consume time = 4689.870629072189s
Episode 358 done: steps = 183550, rewards = 150.0, consume time = 4702.4132168293s
