Episode 84 done, steps = 64478, rewards = -21.0, consume time = 2534.863701105118s
Episode 85 done, steps = 65242, rewards = -21.0, consume time = 2560.609256029129s
Episode 86 done, steps = 66006, rewards = -21.0, consume time = 2585.657462835312s
Episode 87 done, steps = 66770, rewards = -21.0, consume time = 2610.6189498901367s
Episode 88 done, steps = 67534, rewards = -21.0, consume time = 2635.881000995636s
Episode 89 done, steps = 68298, rewards = -21.0, consume time = 2661.808969974518s
Episode 90 done, steps = 69062, rewards = -21.0, consume time = 2687.749862909317s
Episode 91 done, steps = 69826, rewards = -21.0, consume time = 2713.7553589344025s
Episode 92 done, steps = 70637, rewards = -21.0, consume time = 2741.848085165024s
Episode 93 done, steps = 71401, rewards = -21.0, consume time = 2767.847205877304s
Episode 94 done, steps = 72165, rewards = -21.0, consume time = 2793.825330018997s
Episode 95 done, steps = 72929, rewards = -21.0, consume time = 2821.1952788829803s
Episode 96 done, steps = 73910, rewards = -19.0, consume time = 2860.4478528499603s
Episode 97 done, steps = 74833, rewards = -19.0, consume time = 2891.2230639457703s
Episode 98 done, steps = 75597, rewards = -21.0, consume time = 2916.216061115265s
Episode 99 done, steps = 76361, rewards = -21.0, consume time = 2941.2583599090576s
Episode 100 done, steps = 77153, rewards = -21.0, consume time = 2967.161521911621s
Episode 101 done, steps = 77917, rewards = -21.0, consume time = 2992.722742795944s
Episode 102 done, steps = 78681, rewards = -21.0, consume time = 3017.8570709228516s
Episode 103 done, steps = 79445, rewards = -21.0, consume time = 3043.0979340076447s
Episode 104 done, steps = 80209, rewards = -21.0, consume time = 3068.5216670036316s
Episode 105 done, steps = 80973, rewards = -21.0, consume time = 3093.547282934189s
Episode 106 done, steps = 81817, rewards = -21.0, consume time = 3121.9961829185486s
Episode 107 done, steps = 82581, rewards = -21.0, consume time = 3147.917265892029s
Episode 108 done, steps = 83345, rewards = -21.0, consume time = 3173.9967250823975s
Episode 109 done, steps = 84187, rewards = -20.0, consume time = 3204.322210788727s
Episode 110 done, steps = 84951, rewards = -21.0, consume time = 3235.756707906723s
Episode 111 done, steps = 85715, rewards = -21.0, consume time = 3261.705235004425s
Episode 112 done, steps = 86479, rewards = -21.0, consume time = 3287.702395915985s
Episode 113 done, steps = 87243, rewards = -21.0, consume time = 3313.694746017456s
Episode 114 done, steps = 88007, rewards = -21.0, consume time = 3339.8484950065613s
Episode 115 done, steps = 88771, rewards = -21.0, consume time = 3366.088096141815s
Episode 116 done, steps = 89535, rewards = -21.0, consume time = 3391.882164001465s
Episode 117 done, steps = 90299, rewards = -21.0, consume time = 3417.493131875992s
Episode 118 done, steps = 91063, rewards = -21.0, consume time = 3443.184818983078s
Episode 119 done, steps = 91827, rewards = -21.0, consume time = 3468.5182070732117s
Episode 120 done, steps = 92591, rewards = -21.0, consume time = 3494.44584107399s
Episode 121 done, steps = 93355, rewards = -21.0, consume time = 3520.3354568481445s
Episode 122 done, steps = 94119, rewards = -21.0, consume time = 3546.3810498714447s
Episode 123 done, steps = 94883, rewards = -21.0, consume time = 3572.3777828216553s
Episode 124 done, steps = 95647, rewards = -21.0, consume time = 3603.6514620780945s
Episode 125 done, steps = 96411, rewards = -21.0, consume time = 3631.49955701828s
Episode 126 done, steps = 97175, rewards = -21.0, consume time = 3657.4822130203247s
Episode 127 done, steps = 97939, rewards = -21.0, consume time = 3682.578660964966s
Episode 128 done, steps = 98703, rewards = -21.0, consume time = 3707.635001897812s
Episode 129 done, steps = 99467, rewards = -21.0, consume time = 3732.778897047043s
Episode 130 done, steps = 100231, rewards = -21.0, consume time = 3758.1297500133514s
Episode 131 done, steps = 100995, rewards = -21.0, consume time = 3783.136335849762s
Episode 132 done, steps = 101759, rewards = -21.0, consume time = 3808.095862865448s
Episode 133 done, steps = 102523, rewards = -21.0, consume time = 3833.570333003998s
Episode 134 done, steps = 103287, rewards = -21.0, consume time = 3858.5860328674316s
Episode 135 done, steps = 104051, rewards = -21.0, consume time = 3884.418117046356s
Episode 136 done, steps = 104815, rewards = -21.0, consume time = 3909.466635942459s
Episode 137 done, steps = 105579, rewards = -21.0, consume time = 3935.0349419116974s
Episode 138 done, steps = 106343, rewards = -21.0, consume time = 3960.629602909088s
Episode 139 done, steps = 107107, rewards = -21.0, consume time = 3993.1102879047394s
Episode 140 done, steps = 107871, rewards = -21.0, consume time = 4019.594980955124s
Episode 141 done, steps = 108635, rewards = -21.0, consume time = 4045.596633911133s
Episode 142 done, steps = 109399, rewards = -21.0, consume time = 4071.632436990738s
Episode 143 done, steps = 110163, rewards = -21.0, consume time = 4097.173223018646s
Episode 144 done, steps = 110927, rewards = -21.0, consume time = 4122.249064922333s
Episode 145 done, steps = 111751, rewards = -21.0, consume time = 4149.791700124741s
Episode 146 done, steps = 112515, rewards = -21.0, consume time = 4175.7672419548035s
Episode 147 done, steps = 113279, rewards = -21.0, consume time = 4200.934684038162s
Episode 148 done, steps = 114043, rewards = -21.0, consume time = 4226.07773900032s
Episode 149 done, steps = 114807, rewards = -21.0, consume time = 4251.403045892715s
Episode 150 done, steps = 115571, rewards = -21.0, consume time = 4276.473316907883s
Episode 151 done, steps = 116335, rewards = -21.0, consume time = 4301.572284936905s
Episode 152 done, steps = 117099, rewards = -21.0, consume time = 4327.3484399318695s
Episode 153 done, steps = 117863, rewards = -21.0, consume time = 4357.299670934677s
Episode 154 done, steps = 118627, rewards = -21.0, consume time = 4387.416719913483s
Episode 155 done, steps = 119391, rewards = -21.0, consume time = 4413.460803985596s
Episode 156 done, steps = 120155, rewards = -21.0, consume time = 4439.526022911072s
Episode 157 done, steps = 120919, rewards = -21.0, consume time = 4465.254013061523s
Episode 158 done, steps = 121683, rewards = -21.0, consume time = 4490.430463075638s
Episode 159 done, steps = 122447, rewards = -21.0, consume time = 4515.532801866531s
Episode 160 done, steps = 123211, rewards = -21.0, consume time = 4540.611369132996s
Episode 161 done, steps = 123975, rewards = -21.0, consume time = 4566.3718729019165s
Episode 162 done, steps = 124739, rewards = -21.0, consume time = 4592.480906963348s
Episode 163 done, steps = 125503, rewards = -21.0, consume time = 4618.638444900513s
Episode 164 done, steps = 126267, rewards = -21.0, consume time = 4644.7117710113525s
Episode 165 done, steps = 127139, rewards = -20.0, consume time = 4674.734788894653s
Episode 166 done, steps = 127903, rewards = -21.0, consume time = 4700.526033878326s
Episode 167 done, steps = 128667, rewards = -21.0, consume time = 4726.5697338581085s
Episode 168 done, steps = 129431, rewards = -21.0, consume time = 4759.068299770355s
Episode 169 done, steps = 130195, rewards = -21.0, consume time = 4785.5803990364075s
Episode 170 done, steps = 130959, rewards = -21.0, consume time = 4811.716813802719s
Episode 171 done, steps = 131723, rewards = -21.0, consume time = 4837.925142049789s
Episode 172 done, steps = 132487, rewards = -21.0, consume time = 4863.1733939647675s
Episode 173 done, steps = 133251, rewards = -21.0, consume time = 4888.418795824051s
Episode 174 done, steps = 134015, rewards = -21.0, consume time = 4913.6011390686035s
Episode 175 done, steps = 134779, rewards = -21.0, consume time = 4938.6443548202515s
Episode 176 done, steps = 135543, rewards = -21.0, consume time = 4964.0258939266205s
Episode 177 done, steps = 136307, rewards = -21.0, consume time = 4989.212234020233s
Episode 178 done, steps = 137071, rewards = -21.0, consume time = 5014.25882601738s
Episode 179 done, steps = 137835, rewards = -21.0, consume time = 5039.405024051666s
Episode 180 done, steps = 138599, rewards = -21.0, consume time = 5064.509413957596s
Episode 181 done, steps = 139391, rewards = -21.0, consume time = 5090.630512952805s
Episode 182 done, steps = 140155, rewards = -21.0, consume time = 5119.308045864105s
Episode 183 done, steps = 140919, rewards = -21.0, consume time = 5149.454499006271s
Episode 184 done, steps = 141683, rewards = -21.0, consume time = 5174.61646604538s
Episode 185 done, steps = 142447, rewards = -21.0, consume time = 5199.713083982468s
Episode 186 done, steps = 143318, rewards = -20.0, consume time = 5229.627264738083s
Episode 187 done, steps = 144082, rewards = -21.0, consume time = 5255.9688420295715s
Episode 188 done, steps = 144846, rewards = -21.0, consume time = 5282.071794986725s
Episode 189 done, steps = 145610, rewards = -21.0, consume time = 5307.196133852005s
Episode 190 done, steps = 146374, rewards = -21.0, consume time = 5332.883563041687s
Episode 191 done, steps = 147138, rewards = -21.0, consume time = 5359.229029893875s
Episode 192 done, steps = 147902, rewards = -21.0, consume time = 5384.406988859177s
Episode 193 done, steps = 148666, rewards = -21.0, consume time = 5410.443640947342s
Episode 194 done, steps = 149430, rewards = -21.0, consume time = 5435.6851370334625s
Episode 195 done, steps = 150194, rewards = -21.0, consume time = 5460.859937906265s
Episode 196 done, steps = 150958, rewards = -21.0, consume time = 5486.213728904724s
Episode 197 done, steps = 151722, rewards = -21.0, consume time = 5519.064629077911s
Episode 198 done, steps = 152486, rewards = -21.0, consume time = 5544.977833032608s
Episode 199 done, steps = 153250, rewards = -21.0, consume time = 5570.791934967041s
Episode 200 done, steps = 154014, rewards = -21.0, consume time = 5596.839751005173s
Episode 201 done, steps = 154778, rewards = -21.0, consume time = 5622.306437015533s
Episode 202 done, steps = 155542, rewards = -21.0, consume time = 5648.322727918625s
Episode 203 done, steps = 156306, rewards = -21.0, consume time = 5673.897248744965s
Episode 204 done, steps = 157070, rewards = -21.0, consume time = 5699.939080953598s
Episode 205 done, steps = 157834, rewards = -21.0, consume time = 5726.119699001312s
Episode 206 done, steps = 158598, rewards = -21.0, consume time = 5752.259922981262s
Episode 207 done, steps = 159362, rewards = -21.0, consume time = 5778.576575994492s
Episode 208 done, steps = 160126, rewards = -21.0, consume time = 5804.694351911545s
Episode 209 done, steps = 160890, rewards = -21.0, consume time = 5830.254065036774s
Episode 210 done, steps = 161654, rewards = -21.0, consume time = 5856.352777957916s
Episode 211 done, steps = 162418, rewards = -21.0, consume time = 5886.48215508461s
Episode 212 done, steps = 163182, rewards = -21.0, consume time = 5915.547294139862s
Episode 213 done, steps = 163946, rewards = -21.0, consume time = 5941.688244104385s
Episode 214 done, steps = 164710, rewards = -21.0, consume time = 5967.857526779175s
Episode 215 done, steps = 165474, rewards = -21.0, consume time = 5993.933306932449s
Episode 216 done, steps = 166238, rewards = -21.0, consume time = 6020.0835700035095s
Episode 217 done, steps = 167002, rewards = -21.0, consume time = 6046.286984920502s
Episode 218 done, steps = 167766, rewards = -21.0, consume time = 6072.372534751892s
Episode 219 done, steps = 168530, rewards = -21.0, consume time = 6098.542046070099s
Episode 220 done, steps = 169294, rewards = -21.0, consume time = 6124.385541915894s
Episode 221 done, steps = 170058, rewards = -21.0, consume time = 6150.2788009643555s
Episode 222 done, steps = 170822, rewards = -21.0, consume time = 6175.751915931702s
Episode 223 done, steps = 171586, rewards = -21.0, consume time = 6200.908370018005s
Episode 224 done, steps = 172350, rewards = -21.0, consume time = 6226.132778167725s
Episode 225 done, steps = 173114, rewards = -21.0, consume time = 6252.2863509655s
Episode 226 done, steps = 173878, rewards = -21.0, consume time = 6284.797075033188s
Episode 227 done, steps = 174642, rewards = -21.0, consume time = 6310.938152074814s
Episode 228 done, steps = 175406, rewards = -21.0, consume time = 6337.389978885651s
Episode 229 done, steps = 176170, rewards = -21.0, consume time = 6363.600994825363s
Episode 230 done, steps = 176934, rewards = -21.0, consume time = 6389.448504924774s
Episode 231 done, steps = 177698, rewards = -21.0, consume time = 6415.914104938507s
Episode 232 done, steps = 178462, rewards = -21.0, consume time = 6442.025247097015s
Episode 233 done, steps = 179226, rewards = -21.0, consume time = 6467.830569028854s
Episode 234 done, steps = 179990, rewards = -21.0, consume time = 6493.064568996429s
Episode 235 done, steps = 180754, rewards = -21.0, consume time = 6518.983588933945s
Episode 236 done, steps = 181518, rewards = -21.0, consume time = 6545.133793830872s
Episode 237 done, steps = 182282, rewards = -21.0, consume time = 6571.286772012711s
Episode 238 done, steps = 183046, rewards = -21.0, consume time = 6597.312360048294s
Episode 239 done, steps = 183810, rewards = -21.0, consume time = 6622.515659093857s
Episode 240 done, steps = 184574, rewards = -21.0, consume time = 6653.439497947693s
Episode 241 done, steps = 185338, rewards = -21.0, consume time = 6681.807444095612s
Episode 242 done, steps = 186102, rewards = -21.0, consume time = 6707.747549057007s
Episode 243 done, steps = 186866, rewards = -21.0, consume time = 6732.976150035858s
Episode 244 done, steps = 187630, rewards = -21.0, consume time = 6758.121817827225s
Episode 245 done, steps = 188394, rewards = -21.0, consume time = 6784.029431819916s
Episode 246 done, steps = 189158, rewards = -21.0, consume time = 6809.223777770996s
Episode 247 done, steps = 189922, rewards = -21.0, consume time = 6834.494676113129s
Episode 248 done, steps = 190686, rewards = -21.0, consume time = 6859.625283956528s
Episode 249 done, steps = 191450, rewards = -21.0, consume time = 6884.896671056747s
Episode 250 done, steps = 192214, rewards = -21.0, consume time = 6910.807760953903s
Episode 251 done, steps = 192978, rewards = -21.0, consume time = 6936.110722780228s
Episode 252 done, steps = 193742, rewards = -21.0, consume time = 6961.295788764954s
Episode 253 done, steps = 194506, rewards = -21.0, consume time = 6986.488267183304s
Episode 254 done, steps = 195270, rewards = -21.0, consume time = 7012.758429050446s
Episode 255 done, steps = 196034, rewards = -21.0, consume time = 7045.576151847839s
Episode 256 done, steps = 196798, rewards = -21.0, consume time = 7071.480937004089s
Episode 257 done, steps = 197562, rewards = -21.0, consume time = 7096.7009019851685s
Episode 258 done, steps = 198326, rewards = -21.0, consume time = 7122.532683849335s
Episode 259 done, steps = 199090, rewards = -21.0, consume time = 7148.6922290325165s
Episode 260 done, steps = 199854, rewards = -21.0, consume time = 7174.55807185173s
Episode 261 done, steps = 200618, rewards = -21.0, consume time = 7199.907991886139s
Episode 262 done, steps = 201382, rewards = -21.0, consume time = 7225.206227064133s
Episode 263 done, steps = 202146, rewards = -21.0, consume time = 7250.475124120712s
Episode 264 done, steps = 202910, rewards = -21.0, consume time = 7275.721645832062s
Episode 265 done, steps = 203674, rewards = -21.0, consume time = 7300.967974901199s
Episode 266 done, steps = 204438, rewards = -21.0, consume time = 7326.196261882782s
Episode 267 done, steps = 205202, rewards = -21.0, consume time = 7351.370151996613s
Episode 268 done, steps = 205966, rewards = -21.0, consume time = 7377.185218811035s
Episode 269 done, steps = 206730, rewards = -21.0, consume time = 7406.298619031906s
Episode 270 done, steps = 207494, rewards = -21.0, consume time = 7436.793297052383s
Episode 271 done, steps = 208258, rewards = -21.0, consume time = 7462.7983157634735s
Episode 272 done, steps = 209022, rewards = -21.0, consume time = 7488.537060022354s
Episode 273 done, steps = 209786, rewards = -21.0, consume time = 7514.504498004913s
Episode 274 done, steps = 210550, rewards = -21.0, consume time = 7540.711083173752s
Episode 275 done, steps = 211314, rewards = -21.0, consume time = 7566.865209817886s
Episode 276 done, steps = 212078, rewards = -21.0, consume time = 7593.272160768509s
Episode 277 done, steps = 212842, rewards = -21.0, consume time = 7619.460349082947s
Episode 278 done, steps = 213606, rewards = -21.0, consume time = 7644.75296497345s
Episode 279 done, steps = 214370, rewards = -21.0, consume time = 7669.963241100311s
