Episode 1 done, steps = 151, actions = [0:15/151 | 1:23/151 | 2:27/151 | 3:45/151 | 4:18/151 | 5:23/151 | ], loss = 104.90283203125, rewards = 180.0, consume time = 0.852107048034668s
Episode 2 done, steps = 264, actions = [0:0/113 | 1:0/113 | 2:11/113 | 3:0/113 | 4:102/113 | 5:0/113 | ], loss = 16.01449966430664, rewards = 170.0, consume time = 1.496345043182373s
Episode 3 done, steps = 399, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.8525088429450989, rewards = 270.0, consume time = 2.267096996307373s
Episode 4 done, steps = 534, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 3.120904148090631e-05, rewards = 270.0, consume time = 3.0439741611480713s
Episode 5 done, steps = 669, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 3.820544958114624s
Episode 6 done, steps = 804, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 4.613323926925659s
Episode 7 done, steps = 939, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 5.414277076721191s
Episode 8 done, steps = 1074, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 6.214877128601074s
Episode 9 done, steps = 1209, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 7.023269176483154s
Episode 10 done, steps = 1344, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 7.819188117980957s
Episode 11 done, steps = 1479, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 8.618606090545654s
Episode 12 done, steps = 1614, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 9.427372932434082s
Episode 13 done, steps = 1749, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 10.215473175048828s
Episode 14 done, steps = 1884, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 11.044836044311523s
Episode 15 done, steps = 2019, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 11.851396083831787s
Episode 16 done, steps = 2154, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 12.670774936676025s
Episode 17 done, steps = 2289, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 13.491384983062744s
Episode 18 done, steps = 2424, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 14.30326223373413s
Episode 19 done, steps = 2559, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 15.15373420715332s
Episode 20 done, steps = 2694, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 15.974286079406738s
Episode 21 done, steps = 2829, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 16.803779125213623s
Episode 22 done, steps = 2964, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 17.683681964874268s
Episode 23 done, steps = 3099, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 18.61279821395874s
Episode 24 done, steps = 3234, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 19.48380422592163s
Episode 25 done, steps = 3369, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 20.324021100997925s
Episode 26 done, steps = 3504, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 21.369774103164673s
Episode 27 done, steps = 3639, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 22.317101001739502s
Episode 28 done, steps = 3774, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 23.20971417427063s
Episode 29 done, steps = 3909, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 24.1212260723114s
Episode 30 done, steps = 4044, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 24.994365215301514s
Episode 31 done, steps = 4179, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 25.923569202423096s
Episode 32 done, steps = 4314, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 26.989773988723755s
Episode 33 done, steps = 4449, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 27.923169136047363s
Episode 34 done, steps = 4584, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 28.850419282913208s
Episode 35 done, steps = 4719, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 29.782891035079956s
Episode 36 done, steps = 4854, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 30.690678119659424s
Episode 37 done, steps = 4989, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 31.58429527282715s
Episode 38 done, steps = 5124, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 32.492887020111084s
Episode 39 done, steps = 5259, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 33.38077521324158s
Episode 40 done, steps = 5394, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 34.263779163360596s
Episode 41 done, steps = 5529, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 35.13316822052002s
Episode 42 done, steps = 5664, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 35.99084115028381s
Episode 43 done, steps = 5799, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 36.84303307533264s
Episode 44 done, steps = 5934, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 37.74415826797485s
Episode 45 done, steps = 6069, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 38.65970301628113s
Episode 46 done, steps = 6204, actions = [0:0/135 | 1:0/135 | 2:0/135 | 3:0/135 | 4:135/135 | 5:0/135 | ], loss = 0.0, rewards = 270.0, consume time = 39.58308410644531s
