Episode 85 done, steps = 43260, rewards = 80.0, consume time = 162.08780694007874s
Episode 86 done, steps = 43648, rewards = 110.0, consume time = 163.5987901687622s
Episode 87 done, steps = 44011, rewards = 80.0, consume time = 165.01032280921936s
Episode 88 done, steps = 44520, rewards = 95.0, consume time = 166.93813610076904s
Episode 89 done, steps = 45257, rewards = 205.0, consume time = 169.70894694328308s
Episode 90 done, steps = 45561, rewards = 35.0, consume time = 170.8730490207672s
Episode 91 done, steps = 46024, rewards = 255.0, consume time = 172.71353483200073s
Episode 92 done, steps = 46515, rewards = 180.0, consume time = 174.59534001350403s
Episode 93 done, steps = 46986, rewards = 155.0, consume time = 176.35609197616577s
Episode 94 done, steps = 47507, rewards = 95.0, consume time = 178.31664896011353s
Episode 95 done, steps = 47885, rewards = 20.0, consume time = 179.7799789905548s
Episode 96 done, steps = 48434, rewards = 90.0, consume time = 181.9529149532318s
Episode 97 done, steps = 48955, rewards = 180.0, consume time = 183.96473121643066s
Episode 98 done, steps = 49477, rewards = 140.0, consume time = 185.98483300209045s
Episode 99 done, steps = 50114, rewards = 205.0, consume time = 188.53397297859192s
Episode 100 done, steps = 50762, rewards = 225.0, consume time = 190.99237990379333s
Episode 101 done, steps = 51239, rewards = 110.0, consume time = 192.87390995025635s
Episode 102 done, steps = 51768, rewards = 165.0, consume time = 194.90242886543274s
Episode 103 done, steps = 52263, rewards = 110.0, consume time = 196.83959197998047s
Episode 104 done, steps = 52756, rewards = 180.0, consume time = 198.71782898902893s
Episode 105 done, steps = 53436, rewards = 405.0, consume time = 201.46074199676514s
Episode 106 done, steps = 53731, rewards = 50.0, consume time = 202.6603560447693s
Episode 107 done, steps = 54391, rewards = 90.0, consume time = 205.12590098381042s
Episode 108 done, steps = 55349, rewards = 315.0, consume time = 208.89916896820068s
Episode 109 done, steps = 55853, rewards = 120.0, consume time = 210.86640095710754s
Episode 110 done, steps = 56200, rewards = 80.0, consume time = 212.25489783287048s
Episode 111 done, steps = 56496, rewards = 65.0, consume time = 213.4329149723053s
Episode 112 done, steps = 56894, rewards = 135.0, consume time = 214.97732615470886s
Episode 113 done, steps = 57462, rewards = 120.0, consume time = 217.19924807548523s
Episode 114 done, steps = 57941, rewards = 105.0, consume time = 219.14453196525574s
Episode 115 done, steps = 58356, rewards = 135.0, consume time = 220.78887915611267s
Episode 116 done, steps = 58877, rewards = 120.0, consume time = 222.78975582122803s
Episode 117 done, steps = 59438, rewards = 135.0, consume time = 224.99860191345215s
Episode 118 done, steps = 59824, rewards = 55.0, consume time = 226.50002884864807s
Episode 119 done, steps = 60347, rewards = 210.0, consume time = 228.59275484085083s
Episode 120 done, steps = 60836, rewards = 140.0, consume time = 230.5143599510193s
Episode 121 done, steps = 61360, rewards = 150.0, consume time = 232.66448616981506s
Episode 122 done, steps = 61811, rewards = 125.0, consume time = 234.4244420528412s
Episode 123 done, steps = 62125, rewards = 90.0, consume time = 235.6725299358368s
Episode 124 done, steps = 62618, rewards = 135.0, consume time = 237.69475984573364s
Episode 125 done, steps = 63111, rewards = 120.0, consume time = 239.69192695617676s
Episode 126 done, steps = 63628, rewards = 75.0, consume time = 241.6419608592987s
Episode 127 done, steps = 64412, rewards = 285.0, consume time = 244.83819198608398s
Episode 128 done, steps = 64951, rewards = 155.0, consume time = 246.91613698005676s
Episode 129 done, steps = 65770, rewards = 520.0, consume time = 250.13959002494812s
Episode 130 done, steps = 66243, rewards = 120.0, consume time = 252.02494597434998s
Episode 131 done, steps = 66885, rewards = 230.0, consume time = 254.5243058204651s
Episode 132 done, steps = 67210, rewards = 15.0, consume time = 255.84876990318298s
Episode 133 done, steps = 67578, rewards = 80.0, consume time = 257.2800660133362s
Episode 134 done, steps = 68158, rewards = 55.0, consume time = 259.5020549297333s
Episode 135 done, steps = 68511, rewards = 30.0, consume time = 260.8715581893921s
Episode 136 done, steps = 68991, rewards = 95.0, consume time = 262.66244983673096s
Episode 137 done, steps = 69319, rewards = 80.0, consume time = 263.9663200378418s
Episode 138 done, steps = 69738, rewards = 50.0, consume time = 265.6012439727783s
Episode 139 done, steps = 70346, rewards = 225.0, consume time = 267.8562710285187s
Episode 140 done, steps = 70837, rewards = 190.0, consume time = 269.8308939933777s
Episode 141 done, steps = 71517, rewards = 225.0, consume time = 272.55650091171265s
Episode 142 done, steps = 72397, rewards = 210.0, consume time = 275.86397099494934s
Episode 143 done, steps = 72806, rewards = 50.0, consume time = 277.5223319530487s
Episode 144 done, steps = 73564, rewards = 545.0, consume time = 280.28555703163147s
Episode 145 done, steps = 74221, rewards = 240.0, consume time = 282.94727182388306s
Episode 146 done, steps = 74863, rewards = 240.0, consume time = 285.4291818141937s
Episode 147 done, steps = 75526, rewards = 355.0, consume time = 288.0388150215149s
Episode 148 done, steps = 76097, rewards = 210.0, consume time = 290.25587606430054s
Episode 149 done, steps = 76577, rewards = 45.0, consume time = 292.1165418624878s
Episode 150 done, steps = 77359, rewards = 305.0, consume time = 295.1336691379547s
Episode 151 done, steps = 77749, rewards = 50.0, consume time = 296.69701290130615s
Episode 152 done, steps = 78126, rewards = 120.0, consume time = 298.1857349872589s
Episode 153 done, steps = 78466, rewards = 100.0, consume time = 299.5399990081787s
Episode 154 done, steps = 78857, rewards = 105.0, consume time = 301.12435507774353s
Episode 155 done, steps = 79465, rewards = 180.0, consume time = 303.5389189720154s
Episode 156 done, steps = 79910, rewards = 120.0, consume time = 305.3422200679779s
Episode 157 done, steps = 80220, rewards = 80.0, consume time = 306.5348868370056s
Episode 158 done, steps = 80737, rewards = 105.0, consume time = 308.5121011734009s
Episode 159 done, steps = 81093, rewards = 105.0, consume time = 309.965726852417s
Episode 160 done, steps = 81576, rewards = 105.0, consume time = 311.85535311698914s
Episode 161 done, steps = 82231, rewards = 195.0, consume time = 314.4277880191803s
Episode 162 done, steps = 82768, rewards = 120.0, consume time = 316.4926450252533s
