Episode 1 done, steps = 250, actions = [0:44/250 | 1:46/250 | 2:56/250 | 3:53/250 | 4:51/250 | ], loss = 0, rewards = -53.795379537954595, consume time = 4.295588731765747s
Episode 2 done, steps = 500, actions = [0:47/250 | 1:45/250 | 2:52/250 | 3:56/250 | 4:50/250 | ], loss = 0, rewards = -60.52631578947458, consume time = 8.576642990112305s
Episode 3 done, steps = 750, actions = [0:47/250 | 1:60/250 | 2:44/250 | 3:53/250 | 4:46/250 | ], loss = 0, rewards = -61.29032258064611, consume time = 12.89111876487732s
Episode 4 done, steps = 1000, actions = [0:50/250 | 1:46/250 | 2:54/250 | 3:50/250 | 4:50/250 | ], loss = 0.1841702163219452, rewards = -57.894736842106056, consume time = 17.176429986953735s
Episode 5 done, steps = 1250, actions = [0:44/250 | 1:62/250 | 2:51/250 | 3:44/250 | 4:49/250 | ], loss = 496.4292297363281, rewards = -56.081081081081855, consume time = 28.400017738342285s
Episode 6 done, steps = 1500, actions = [0:48/250 | 1:52/250 | 2:51/250 | 3:63/250 | 4:36/250 | ], loss = 31.29307746887207, rewards = -37.74319066147906, consume time = 40.016180992126465s
Episode 7 done, steps = 1750, actions = [0:36/250 | 1:58/250 | 2:49/250 | 3:49/250 | 4:58/250 | ], loss = 29.43160629272461, rewards = -50.70422535211347, consume time = 50.5976128578186s
Episode 8 done, steps = 2000, actions = [0:62/250 | 1:39/250 | 2:46/250 | 3:43/250 | 4:60/250 | ], loss = 26.76946449279785, rewards = -56.112852664577595, consume time = 60.879798889160156s
Episode 9 done, steps = 2250, actions = [0:57/250 | 1:48/250 | 2:44/250 | 3:47/250 | 4:54/250 | ], loss = 29.18015480041504, rewards = -48.33948339483461, consume time = 70.8179829120636s
Episode 10 done, steps = 2500, actions = [0:51/250 | 1:50/250 | 2:50/250 | 3:51/250 | 4:48/250 | ], loss = 27.996633529663086, rewards = -56.810631229236776, consume time = 81.25777292251587s
Episode 11 done, steps = 2750, actions = [0:58/250 | 1:39/250 | 2:43/250 | 3:50/250 | 4:60/250 | ], loss = 27.31059455871582, rewards = -49.45848375451338, consume time = 93.65086388587952s
Episode 12 done, steps = 3000, actions = [0:41/250 | 1:57/250 | 2:46/250 | 3:51/250 | 4:55/250 | ], loss = 26.572891235351562, rewards = -57.23684210526401, consume time = 104.697518825531s
Episode 13 done, steps = 3250, actions = [0:54/250 | 1:52/250 | 2:42/250 | 3:52/250 | 4:50/250 | ], loss = 30.838895797729492, rewards = -59.3750000000008, consume time = 117.00008869171143s
Episode 14 done, steps = 3500, actions = [0:49/250 | 1:40/250 | 2:58/250 | 3:53/250 | 4:50/250 | ], loss = 45.99774932861328, rewards = -54.38596491228158, consume time = 128.95375680923462s
Episode 15 done, steps = 3750, actions = [0:43/250 | 1:43/250 | 2:50/250 | 3:64/250 | 4:50/250 | ], loss = 36.83069610595703, rewards = -57.831325301205716, consume time = 140.93943881988525s
Episode 16 done, steps = 4000, actions = [0:45/250 | 1:55/250 | 2:43/250 | 3:50/250 | 4:57/250 | ], loss = 29.660430908203125, rewards = -59.45945945946032, consume time = 152.06565880775452s
Episode 17 done, steps = 4250, actions = [0:48/250 | 1:59/250 | 2:40/250 | 3:54/250 | 4:49/250 | ], loss = 33.69755935668945, rewards = -66.04938271605019, consume time = 163.5298309326172s
