Episode 33 done, steps = 8250, actions = [0:114/250 | 1:30/250 | 2:23/250 | 3:56/250 | 4:27/250 | ], loss = 28.779502868652344, rewards = 13.879003558717848, consume time = 487.9796140193939s
Episode 34 done, steps = 8500, actions = [0:65/250 | 1:57/250 | 2:42/250 | 3:52/250 | 4:34/250 | ], loss = 28.382963180541992, rewards = -24.137931034482854, consume time = 504.0069251060486s
Episode 35 done, steps = 8750, actions = [0:19/250 | 1:88/250 | 2:52/250 | 3:52/250 | 4:39/250 | ], loss = 26.409257888793945, rewards = -44.26229508196749, consume time = 519.9893612861633s
Episode 36 done, steps = 9000, actions = [0:21/250 | 1:77/250 | 2:64/250 | 3:72/250 | 4:16/250 | ], loss = 28.164365768432617, rewards = 12.994350282485334, consume time = 536.1278741359711s
Episode 37 done, steps = 9250, actions = [0:18/250 | 1:50/250 | 2:46/250 | 3:95/250 | 4:41/250 | ], loss = 31.973054885864258, rewards = 5.80204778156919, consume time = 552.265328168869s
Episode 38 done, steps = 9500, actions = [0:17/250 | 1:40/250 | 2:58/250 | 3:68/250 | 4:67/250 | ], loss = 29.274770736694336, rewards = -25.08143322475602, consume time = 568.3415212631226s
Episode 39 done, steps = 9750, actions = [0:40/250 | 1:32/250 | 2:53/250 | 3:98/250 | 4:27/250 | ], loss = 32.45804214477539, rewards = 90.62500000000036, consume time = 584.3539772033691s
Episode 40 done, steps = 10000, actions = [0:44/250 | 1:20/250 | 2:24/250 | 3:134/250 | 4:28/250 | ], loss = 37.19090270996094, rewards = 94.63087248322421, consume time = 600.119157075882s
Episode 41 done, steps = 10250, actions = [0:21/250 | 1:29/250 | 2:64/250 | 3:32/250 | 4:104/250 | ], loss = 32.93152618408203, rewards = -48.94894894894966, consume time = 616.1423971652985s
Episode 42 done, steps = 10500, actions = [0:16/250 | 1:64/250 | 2:79/250 | 3:54/250 | 4:37/250 | ], loss = 33.84304428100586, rewards = 8.433734939758962, consume time = 631.8361940383911s
Episode 43 done, steps = 10750, actions = [0:14/250 | 1:19/250 | 2:78/250 | 3:47/250 | 4:92/250 | ], loss = 34.778682708740234, rewards = -33.121019108280876, consume time = 647.8489320278168s
Episode 44 done, steps = 11000, actions = [0:20/250 | 1:35/250 | 2:40/250 | 3:117/250 | 4:38/250 | ], loss = 37.012611389160156, rewards = 20.56737588652377, consume time = 663.6677920818329s
Episode 45 done, steps = 11250, actions = [0:57/250 | 1:42/250 | 2:35/250 | 3:76/250 | 4:40/250 | ], loss = 38.27376174926758, rewards = -37.26937269372724, consume time = 679.5781769752502s
Episode 46 done, steps = 11500, actions = [0:27/250 | 1:49/250 | 2:34/250 | 3:119/250 | 4:21/250 | ], loss = 38.85017013549805, rewards = -39.393939393939554, consume time = 695.668142080307s
Episode 47 done, steps = 11750, actions = [0:14/250 | 1:27/250 | 2:47/250 | 3:45/250 | 4:117/250 | ], loss = 37.42902374267578, rewards = -33.717579250721336, consume time = 711.8399012088776s
Episode 48 done, steps = 12000, actions = [0:16/250 | 1:31/250 | 2:46/250 | 3:142/250 | 4:15/250 | ], loss = 39.64303207397461, rewards = -40.80996884735265, consume time = 727.7568161487579s
Episode 49 done, steps = 12250, actions = [0:42/250 | 1:52/250 | 2:58/250 | 3:35/250 | 4:63/250 | ], loss = 36.579864501953125, rewards = -53.890489913545146, consume time = 743.8695590496063s
Episode 50 done, steps = 12500, actions = [0:21/250 | 1:36/250 | 2:10/250 | 3:66/250 | 4:117/250 | ], loss = 40.00385284423828, rewards = -47.36842105263251, consume time = 759.736387014389s
Episode 51 done, steps = 12736, actions = [0:42/236 | 1:42/236 | 2:25/236 | 3:66/236 | 4:61/236 | ], loss = 36.82075500488281, rewards = -132.55616438356222, consume time = 774.5036342144012s
Episode 52 done, steps = 12986, actions = [0:52/250 | 1:50/250 | 2:49/250 | 3:78/250 | 4:21/250 | ], loss = 39.30100631713867, rewards = -14.191419141914993, consume time = 790.9158840179443s
Episode 53 done, steps = 13236, actions = [0:21/250 | 1:35/250 | 2:80/250 | 3:60/250 | 4:54/250 | ], loss = 164.73291015625, rewards = -60.52631578947436, consume time = 807.1793930530548s
Episode 54 done, steps = 13486, actions = [0:31/250 | 1:53/250 | 2:29/250 | 3:110/250 | 4:27/250 | ], loss = 36.534088134765625, rewards = -18.699186991870686, consume time = 822.5106270313263s
Episode 55 done, steps = 13736, actions = [0:20/250 | 1:22/250 | 2:18/250 | 3:58/250 | 4:132/250 | ], loss = 98.06049346923828, rewards = -19.580419580420195, consume time = 838.0982401371002s
Episode 56 done, steps = 13986, actions = [0:49/250 | 1:22/250 | 2:14/250 | 3:57/250 | 4:108/250 | ], loss = 93.47667694091797, rewards = -17.91044776119436, consume time = 853.7067892551422s
Episode 57 done, steps = 14236, actions = [0:21/250 | 1:66/250 | 2:30/250 | 3:61/250 | 4:72/250 | ], loss = 38.505348205566406, rewards = -31.506849315068916, consume time = 869.2461061477661s
Episode 58 done, steps = 14486, actions = [0:21/250 | 1:27/250 | 2:87/250 | 3:66/250 | 4:49/250 | ], loss = 88.40287017822266, rewards = 15.987460815046449, consume time = 884.812539100647s
Episode 59 done, steps = 14736, actions = [0:23/250 | 1:39/250 | 2:43/250 | 3:119/250 | 4:26/250 | ], loss = 41.963809967041016, rewards = -32.88590604026925, consume time = 900.1392071247101s
Episode 60 done, steps = 14986, actions = [0:23/250 | 1:69/250 | 2:24/250 | 3:117/250 | 4:17/250 | ], loss = 85.69837951660156, rewards = 50.68493150685268, consume time = 915.5685360431671s
Episode 61 done, steps = 15236, actions = [0:23/250 | 1:51/250 | 2:31/250 | 3:135/250 | 4:10/250 | ], loss = 71.52486419677734, rewards = -16.317991631799902, consume time = 930.5678009986877s
Episode 62 done, steps = 15486, actions = [0:69/250 | 1:33/250 | 2:32/250 | 3:37/250 | 4:79/250 | ], loss = 62.394866943359375, rewards = -33.11036789297703, consume time = 946.1901631355286s
Episode 63 done, steps = 15736, actions = [0:28/250 | 1:57/250 | 2:40/250 | 3:37/250 | 4:88/250 | ], loss = 48.462772369384766, rewards = -52.205882352941835, consume time = 961.7737610340118s
Episode 64 done, steps = 15986, actions = [0:83/250 | 1:37/250 | 2:69/250 | 3:46/250 | 4:15/250 | ], loss = 41.94038009643555, rewards = -32.47588424437368, consume time = 977.1903321743011s
Episode 65 done, steps = 16236, actions = [0:52/250 | 1:50/250 | 2:40/250 | 3:85/250 | 4:23/250 | ], loss = 45.82200622558594, rewards = -27.58620689655243, consume time = 992.3410041332245s
Episode 66 done, steps = 16486, actions = [0:14/250 | 1:37/250 | 2:83/250 | 3:50/250 | 4:66/250 | ], loss = 75.70454406738281, rewards = -39.20972644376931, consume time = 1007.6665070056915s
Episode 67 done, steps = 16736, actions = [0:112/250 | 1:25/250 | 2:51/250 | 3:49/250 | 4:13/250 | ], loss = 58.36457443237305, rewards = -29.824561403509076, consume time = 1023.1101880073547s
Episode 68 done, steps = 16986, actions = [0:32/250 | 1:77/250 | 2:65/250 | 3:58/250 | 4:18/250 | ], loss = 42.97640609741211, rewards = -34.21052631579019, consume time = 1038.4095091819763s
Episode 69 done, steps = 17236, actions = [0:54/250 | 1:49/250 | 2:30/250 | 3:46/250 | 4:71/250 | ], loss = 47.18965148925781, rewards = -82.08955223880554, consume time = 1053.9752550125122s
Episode 70 done, steps = 17486, actions = [0:46/250 | 1:66/250 | 2:47/250 | 3:76/250 | 4:15/250 | ], loss = 45.785850524902344, rewards = -34.86590038314211, consume time = 1069.0419921875s
Episode 71 done, steps = 17736, actions = [0:33/250 | 1:31/250 | 2:39/250 | 3:83/250 | 4:64/250 | ], loss = 56.8418083190918, rewards = 50.73529411764982, consume time = 1084.0540800094604s
Episode 72 done, steps = 17986, actions = [0:32/250 | 1:41/250 | 2:54/250 | 3:64/250 | 4:59/250 | ], loss = 46.98709487915039, rewards = -27.48091603053494, consume time = 1098.6263961791992s
Episode 73 done, steps = 18236, actions = [0:34/250 | 1:53/250 | 2:61/250 | 3:77/250 | 4:25/250 | ], loss = 53.69620895385742, rewards = 7.8431372549009595, consume time = 1114.0073840618134s
Episode 74 done, steps = 18486, actions = [0:30/250 | 1:34/250 | 2:72/250 | 3:85/250 | 4:29/250 | ], loss = 46.29772186279297, rewards = -27.007299270073762, consume time = 1129.0692479610443s
Episode 75 done, steps = 18736, actions = [0:68/250 | 1:69/250 | 2:32/250 | 3:45/250 | 4:36/250 | ], loss = 48.14986801147461, rewards = -38.77551020408226, consume time = 1144.7984070777893s
Episode 76 done, steps = 18986, actions = [0:28/250 | 1:54/250 | 2:51/250 | 3:102/250 | 4:15/250 | ], loss = 44.287296295166016, rewards = -19.230769230769933, consume time = 1159.950991153717s
Episode 77 done, steps = 19236, actions = [0:32/250 | 1:47/250 | 2:62/250 | 3:94/250 | 4:15/250 | ], loss = 45.378143310546875, rewards = 57.09969788519692, consume time = 1175.5641870498657s
Episode 78 done, steps = 19486, actions = [0:38/250 | 1:36/250 | 2:55/250 | 3:83/250 | 4:38/250 | ], loss = 48.068603515625, rewards = -21.232876712329368, consume time = 1190.5961380004883s
Episode 79 done, steps = 19736, actions = [0:42/250 | 1:57/250 | 2:33/250 | 3:22/250 | 4:96/250 | ], loss = 47.95423889160156, rewards = -69.3251533742336, consume time = 1205.8952050209045s
Episode 80 done, steps = 19986, actions = [0:65/250 | 1:48/250 | 2:30/250 | 3:91/250 | 4:16/250 | ], loss = 46.919586181640625, rewards = 80.32786885246283, consume time = 1220.7940640449524s
Episode 81 done, steps = 20236, actions = [0:40/250 | 1:31/250 | 2:49/250 | 3:52/250 | 4:78/250 | ], loss = 48.31804275512695, rewards = -26.421404682274158, consume time = 1235.8742382526398s
Episode 82 done, steps = 20486, actions = [0:53/250 | 1:32/250 | 2:35/250 | 3:93/250 | 4:37/250 | ], loss = 46.80891418457031, rewards = 48.14814814815001, consume time = 1250.9310641288757s
Episode 83 done, steps = 20736, actions = [0:89/250 | 1:42/250 | 2:23/250 | 3:75/250 | 4:21/250 | ], loss = 46.30552673339844, rewards = -28.57142857142934, consume time = 1265.6007170677185s
Episode 84 done, steps = 20986, actions = [0:19/250 | 1:16/250 | 2:72/250 | 3:44/250 | 4:99/250 | ], loss = 42.04643630981445, rewards = -39.393939393940094, consume time = 1280.7642512321472s
Episode 85 done, steps = 21236, actions = [0:35/250 | 1:57/250 | 2:51/250 | 3:97/250 | 4:10/250 | ], loss = 44.89881896972656, rewards = 83.15018315018702, consume time = 1295.9090192317963s
