Episode 33 done, steps = 5060, actions = [0:0/91 | 1:1/91 | 2:0/91 | 3:90/91 | 4:0/91 | ], loss = 0.6174188256263733, rewards = -56.55454545454558, consume time = 114.53214597702026s
Episode 34 done, steps = 5131, actions = [0:0/71 | 1:0/71 | 2:0/71 | 3:69/71 | 4:2/71 | ], loss = -0.7695143818855286, rewards = 47.76566523605237, consume time = 116.18728590011597s
Episode 35 done, steps = 5223, actions = [0:0/92 | 1:0/92 | 2:0/92 | 3:91/92 | 4:1/92 | ], loss = -0.23802576959133148, rewards = -64.97142857142902, consume time = 118.27673697471619s
Episode 36 done, steps = 5312, actions = [0:0/89 | 1:0/89 | 2:1/89 | 3:88/89 | 4:0/89 | ], loss = -0.41735076904296875, rewards = -70.88461538461578, consume time = 120.38395595550537s
Episode 37 done, steps = 5384, actions = [0:0/72 | 1:0/72 | 2:2/72 | 3:69/72 | 4:1/72 | ], loss = 3.7155816555023193, rewards = 10.872822299652356, consume time = 122.12313079833984s
Episode 38 done, steps = 5457, actions = [0:0/73 | 1:0/73 | 2:0/73 | 3:72/73 | 4:1/73 | ], loss = 1.4830015897750854, rewards = 20.60166112956881, consume time = 123.93077898025513s
Episode 39 done, steps = 5526, actions = [0:0/69 | 1:0/69 | 2:1/69 | 3:68/69 | 4:0/69 | ], loss = 1.3738014698028564, rewards = 16.469968051118983, consume time = 125.6107771396637s
Episode 40 done, steps = 5624, actions = [0:0/98 | 1:0/98 | 2:1/98 | 3:97/98 | 4:0/98 | ], loss = -0.6718707084655762, rewards = -71.9210191082807, consume time = 127.90022993087769s
Episode 41 done, steps = 5720, actions = [0:0/96 | 1:0/96 | 2:1/96 | 3:93/96 | 4:2/96 | ], loss = -5.9041876792907715, rewards = -71.97483443708657, consume time = 130.1326551437378s
Episode 42 done, steps = 5827, actions = [0:1/107 | 1:0/107 | 2:1/107 | 3:102/107 | 4:3/107 | ], loss = 1.5926483869552612, rewards = -71.0714285714291, consume time = 132.59407687187195s
Episode 43 done, steps = 5937, actions = [0:0/110 | 1:0/110 | 2:4/110 | 3:103/110 | 4:3/110 | ], loss = -3.3542914390563965, rewards = -68.3604316546768, consume time = 135.1408178806305s
Episode 44 done, steps = 6017, actions = [0:1/80 | 1:1/80 | 2:3/80 | 3:70/80 | 4:5/80 | ], loss = -2.465468168258667, rewards = 35.51517509727722, consume time = 137.04130101203918s
Episode 45 done, steps = 6124, actions = [0:0/107 | 1:1/107 | 2:5/107 | 3:99/107 | 4:2/107 | ], loss = 0.18723396956920624, rewards = -68.35055762081836, consume time = 139.46028804779053s
