Episode 33 done, steps = 8250, actions = [0:52/250 | 1:40/250 | 2:75/250 | 3:23/250 | 4:60/250 | ], loss = -31.78000831604004, rewards = -72.41379310344857, consume time = 187.2410168647766s
Episode 34 done, steps = 8500, actions = [0:47/250 | 1:52/250 | 2:56/250 | 3:29/250 | 4:66/250 | ], loss = -32.69657516479492, rewards = -70.26022304832755, consume time = 192.92031598091125s
Episode 35 done, steps = 8750, actions = [0:56/250 | 1:59/250 | 2:69/250 | 3:20/250 | 4:46/250 | ], loss = -31.702375411987305, rewards = -73.50993377483454, consume time = 198.63772892951965s
Episode 36 done, steps = 9000, actions = [0:47/250 | 1:49/250 | 2:54/250 | 3:28/250 | 4:72/250 | ], loss = -31.90540313720703, rewards = -73.06397306397338, consume time = 204.2969889640808s
Episode 37 done, steps = 9250, actions = [0:43/250 | 1:63/250 | 2:62/250 | 3:30/250 | 4:52/250 | ], loss = -31.359407424926758, rewards = -71.92982456140366, consume time = 210.06041765213013s
Episode 38 done, steps = 9500, actions = [0:56/250 | 1:49/250 | 2:55/250 | 3:28/250 | 4:62/250 | ], loss = -31.809782028198242, rewards = -71.73144876325128, consume time = 215.69016671180725s
Episode 39 done, steps = 9750, actions = [0:45/250 | 1:51/250 | 2:58/250 | 3:31/250 | 4:65/250 | ], loss = -31.74036979675293, rewards = -70.14925373134363, consume time = 221.2448308467865s
Episode 40 done, steps = 10000, actions = [0:42/250 | 1:48/250 | 2:67/250 | 3:32/250 | 4:61/250 | ], loss = -30.73894500732422, rewards = -69.07216494845419, consume time = 226.9375319480896s
Episode 41 done, steps = 10250, actions = [0:56/250 | 1:63/250 | 2:46/250 | 3:24/250 | 4:61/250 | ], loss = -32.3931770324707, rewards = -74.84276729559744, consume time = 232.70299696922302s
Episode 42 done, steps = 10500, actions = [0:51/250 | 1:56/250 | 2:50/250 | 3:33/250 | 4:60/250 | ], loss = -29.77703857421875, rewards = -68.25396825396888, consume time = 238.55082607269287s
Episode 43 done, steps = 10750, actions = [0:42/250 | 1:65/250 | 2:48/250 | 3:33/250 | 4:62/250 | ], loss = -30.03509521484375, rewards = -67.32026143790898, consume time = 244.30036878585815s
Episode 44 done, steps = 11000, actions = [0:42/250 | 1:71/250 | 2:51/250 | 3:42/250 | 4:44/250 | ], loss = -30.994997024536133, rewards = -69.32515337423365, consume time = 250.0466239452362s
Episode 45 done, steps = 11250, actions = [0:42/250 | 1:72/250 | 2:52/250 | 3:30/250 | 4:54/250 | ], loss = -29.63776206970215, rewards = -68.8473520249225, consume time = 255.9456238746643s
Episode 46 done, steps = 11500, actions = [0:46/250 | 1:46/250 | 2:57/250 | 3:39/250 | 4:62/250 | ], loss = -28.840944290161133, rewards = -64.40129449838277, consume time = 261.7336587905884s
Episode 47 done, steps = 11750, actions = [0:57/250 | 1:46/250 | 2:64/250 | 3:38/250 | 4:45/250 | ], loss = -28.041675567626953, rewards = -62.14511041009554, consume time = 267.48575592041016s
Episode 48 done, steps = 12000, actions = [0:42/250 | 1:66/250 | 2:62/250 | 3:33/250 | 4:47/250 | ], loss = -27.571212768554688, rewards = -64.05228758170011, consume time = 273.245228767395s
Episode 49 done, steps = 12250, actions = [0:65/250 | 1:64/250 | 2:39/250 | 3:38/250 | 4:44/250 | ], loss = -26.819257736206055, rewards = -57.74647887324024, consume time = 278.8996889591217s
Episode 50 done, steps = 12500, actions = [0:42/250 | 1:54/250 | 2:46/250 | 3:50/250 | 4:58/250 | ], loss = -27.354475021362305, rewards = -60.000000000000874, consume time = 284.71491980552673s
Episode 51 done, steps = 12750, actions = [0:45/250 | 1:47/250 | 2:54/250 | 3:50/250 | 4:54/250 | ], loss = -25.865995407104492, rewards = -57.894736842106134, consume time = 290.461532831192s
Episode 52 done, steps = 13000, actions = [0:60/250 | 1:51/250 | 2:49/250 | 3:44/250 | 4:46/250 | ], loss = -29.462738037109375, rewards = -65.31791907514534, consume time = 296.45729207992554s
Episode 53 done, steps = 13250, actions = [0:47/250 | 1:55/250 | 2:59/250 | 3:47/250 | 4:42/250 | ], loss = -26.48208236694336, rewards = -57.74647887324026, consume time = 302.1055648326874s
Episode 54 done, steps = 13500, actions = [0:47/250 | 1:58/250 | 2:54/250 | 3:42/250 | 4:49/250 | ], loss = -26.32624626159668, rewards = -56.95364238410675, consume time = 307.87433767318726s
Episode 55 done, steps = 13750, actions = [0:50/250 | 1:45/250 | 2:74/250 | 3:36/250 | 4:45/250 | ], loss = -25.734590530395508, rewards = -55.932203389831294, consume time = 313.67317295074463s
Episode 56 done, steps = 14000, actions = [0:51/250 | 1:54/250 | 2:60/250 | 3:41/250 | 4:44/250 | ], loss = -31.92840003967285, rewards = -71.75141242937892, consume time = 319.6014869213104s
Episode 57 done, steps = 14250, actions = [0:52/250 | 1:46/250 | 2:63/250 | 3:49/250 | 4:40/250 | ], loss = -25.74557876586914, rewards = -55.01730103806306, consume time = 325.25792169570923s
Episode 58 done, steps = 14500, actions = [0:49/250 | 1:60/250 | 2:61/250 | 3:39/250 | 4:41/250 | ], loss = -26.227642059326172, rewards = -57.29537366548122, consume time = 330.9458041191101s
Episode 59 done, steps = 14750, actions = [0:43/250 | 1:56/250 | 2:58/250 | 3:45/250 | 4:48/250 | ], loss = -25.315202713012695, rewards = -55.932203389831386, consume time = 336.36836290359497s
Episode 60 done, steps = 15000, actions = [0:51/250 | 1:52/250 | 2:48/250 | 3:50/250 | 4:49/250 | ], loss = -26.033132553100586, rewards = -59.247648902822256, consume time = 341.8214499950409s
Episode 61 done, steps = 15250, actions = [0:49/250 | 1:59/250 | 2:44/250 | 3:46/250 | 4:52/250 | ], loss = -28.07231330871582, rewards = -63.576158940398265, consume time = 347.35195875167847s
Episode 62 done, steps = 15500, actions = [0:59/250 | 1:55/250 | 2:46/250 | 3:39/250 | 4:51/250 | ], loss = -26.29122543334961, rewards = -55.78231292517084, consume time = 352.9393138885498s
Episode 63 done, steps = 15750, actions = [0:51/250 | 1:54/250 | 2:49/250 | 3:50/250 | 4:46/250 | ], loss = -26.255191802978516, rewards = -54.022988505747875, consume time = 358.32649278640747s
Episode 64 done, steps = 16000, actions = [0:53/250 | 1:60/250 | 2:54/250 | 3:40/250 | 4:43/250 | ], loss = -29.890661239624023, rewards = -66.44295302013494, consume time = 364.0257930755615s
Episode 65 done, steps = 16250, actions = [0:55/250 | 1:60/250 | 2:50/250 | 3:42/250 | 4:43/250 | ], loss = -25.966371536254883, rewards = -58.33333333333424, consume time = 369.8517348766327s
Episode 66 done, steps = 16500, actions = [0:62/250 | 1:54/250 | 2:45/250 | 3:46/250 | 4:43/250 | ], loss = -26.546077728271484, rewards = -57.74647887324029, consume time = 375.5281298160553s
Episode 67 done, steps = 16750, actions = [0:54/250 | 1:52/250 | 2:43/250 | 3:46/250 | 4:55/250 | ], loss = -26.120588302612305, rewards = -56.67870036101166, consume time = 381.20879006385803s
